"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*04pmw*","Alek Thomas","ARI","OF","456","FA","","51.69","27%","-2%","479","116","26","11","8",".288","96","128"
"*02bu9*","Marcus Semien","NYM","2B","458","FA","","51.49","91%","0%","448","104","16","16","9",".311","104","120"
"*05wxy*","Kyle Teel","CHW","C","461","FA","","51.44","84%","-5%","388","99","18","12","6",".361","96","109"
"*02mzg*","Max Muncy","LAD","3B","464","FA","","51.3","89%","-1%","356","85","17","21","4",".361","108","105"
"*04eej*","Gavin Sheets","SD","OF","465","FA","","51.29","50%","-4%","475","117","28","14","2",".310","93","130"
"*048tn*","Carlos Narvaez","BOS","C","467","FA","","51.26","45%","-4%","416","95","24","13","2",".326","90","124"
"*04an8*","Wenceel Perez","DET","OF","468","FA","","51.19","35%","-4%","411","97","25","14","10",".310","84","115"
"*05jrh*","Colt Keith","DET","2B,3B","471","FA","","51.04","78%","-4%","467","121","25","14","2",".327","102","139"
"*05gbf*","Jordan Walker","STL","OF","474","FA","","50.96","63%","-6%","467","103","23","14","11",".288","81","126"
"*051ia*","Spencer Horwitz","PIT","1B","475","FA","","50.95","48%","-4%","403","109","29","11","0",".366","99","109"
"*03dei*","Lane Thomas","KC","OF","484","FA","","50.52","33%","-3%","394","91","21","14","12",".300","88","106"
"*04s1g*","Gabriel Moreno","ARI","C","489","FA","","50.08","72%","-4%","383","107","21","10","3",".355","98","108"
"*0414h*","Gabriel Arias","CLE","2B,SS","490","FA","","50.08","22%","-2%","425","95","28","12","9",".279","78","117"
"*03pit*","Trent Grisham","NYY","OF","491","FA","@SF Wed 8:05PM","50","89%","-1%","404","90","14","24","2",".330","106","119"
"*0317o*","Jeff McNeil","ATH","2B,OF","492","FA","","49.94","56%","-2%","428","108","28","11","3",".333","92","125"
"*05yby*","Kevin McGonigle","DET","SS","493","FA","","49.79","94%","0%","318","86","24","10","12",".381","84","100"
"*059bx*","Brady House","WSH","3B","494","FA","","49.7","61%","-4%","457","110","22","11","10",".286","89","124"
"*05161*","Dominic Canzone","SEA","OF","497","FA","","49.62","48%","-3%","424","112","18","18","5",".329","94","118"
"*04yib*","Brett Baty","NYM","2B,3B","503","FA","","49.2","69%","-3%","434","99","15","18","8",".304","91","122"
"*02i11*","Jorge Soler","LAA","OF","504","FA","","49.17","41%","-3%","408","93","21","22","0",".320","91","114"
"*03avk*","Luis Rengifo","MIL","2B,3B","506","FA","","48.98","34%","-2%","439","115","19","10","11",".319","87","120"
"*06cq8*","Christian Moore","LAA","2B","507","FA","","48.93","65%","-5%","464","107","16","15","7",".320","90","141"
